,method,parameter,total_features,noise_level,noisy_score,score,features_names,feature_weights,feature_complexities
660,omp,7,23,0.5,0.9774713059402255,0.9999999079525279,"['Bool[holding]', 'Num[ontable]', 'Num[Exists(on,ontable)]', 'Bool[And(Not(clear),Nominal(a))]', 'Num[Not(And(ontable,Nominal(a)))]', 'Num[Not(And(holding,Nominal(a)))]', 'Num[Exists(Star(on),Nominal(a))]']","[0.9995008047195353, 0.0005916392556349674, -0.00017464577344848597, 0.0002503139041925507, 0.0017107638773665834, -0.0007729732445678063, 2.0003975912596355]","[1, 1, 3, 4, 4, 4, 4]"
661,omp,8,23,0.5,0.9774713059402255,0.9999999079525279,"['Bool[holding]', 'Num[ontable]', 'Num[Exists(on,ontable)]', 'Bool[And(Not(clear),Nominal(a))]', 'Num[Not(And(ontable,Nominal(a)))]', 'Num[Not(And(holding,Nominal(a)))]', 'Num[Exists(Star(on),Nominal(a))]']","[0.9995008047195353, 0.0005916392556349674, -0.00017464577344848597, 0.0002503139041925507, 0.0017107638773665834, -0.0007729732445678063, 2.0003975912596355]","[1, 1, 3, 4, 4, 4, 4]"
662,omp,9,23,0.5,0.9774713059402255,0.9999999079525279,"['Bool[holding]', 'Num[ontable]', 'Num[Exists(on,ontable)]', 'Bool[And(Not(clear),Nominal(a))]', 'Num[Not(And(ontable,Nominal(a)))]', 'Num[Not(And(holding,Nominal(a)))]', 'Num[Exists(Star(on),Nominal(a))]']","[0.9995008047195353, 0.0005916392556349674, -0.00017464577344848597, 0.0002503139041925507, 0.0017107638773665834, -0.0007729732445678063, 2.0003975912596355]","[1, 1, 3, 4, 4, 4, 4]"
663,omp,1,23,1.0,0.8950577746056946,0.9776436896894413,"['Num[Exists(Star(on),Nominal(a))]']",[1.9663332551948445],[4]
664,omp,2,23,1.0,0.9155360980972267,0.9999996005169581,"['Bool[holding]', 'Num[Exists(Star(on),Nominal(a))]']","[0.9996314347948175, 1.9987383171725996]","[1, 4]"
665,omp,3,23,1.0,0.9155361345749935,0.9999995607240132,"['Bool[holding]', 'Num[Not(And(clear,ontable))]', 'Num[Exists(Star(on),Nominal(a))]']","[0.9995966423529574, 0.0007715201526895848, 1.9986633315250864]","[1, 4, 4]"
666,omp,4,23,1.0,0.915536164420554,0.999999528166024,"['Bool[holding]', 'Bool[And(Not(holding),Nominal(a))]', 'Num[Not(And(clear,ontable))]', 'Num[Exists(Star(on),Nominal(a))]']","[0.999917809326686, 0.002787416073693051, 0.0007976694403141515, 1.998588720641136]","[1, 4, 4, 4]"
667,omp,5,23,1.0,0.9155361677229064,0.9999995245635468,"['Bool[holding]', 'Bool[And(Not(holding),Nominal(a))]', 'Num[Not(And(clear,Nominal(a)))]', 'Num[Not(And(clear,ontable))]', 'Num[Exists(Star(on),Nominal(a))]']","[0.9999246343398281, 0.002409497261866989, -0.0005919890083182564, 0.0008189534878387966, 1.9987025049794207]","[1, 4, 4, 4, 4]"
668,omp,6,23,1.0,0.9155361693587782,0.9999995227790033,"['Bool[holding]', 'Num[Exists(on,ontable)]', 'Bool[And(Not(holding),Nominal(a))]', 'Num[Not(And(clear,Nominal(a)))]', 'Num[Not(And(clear,ontable))]', 'Num[Exists(Star(on),Nominal(a))]']","[0.9999749139643682, 0.0002484503636005125, 0.0023026662638739475, -0.0006628152006084896, 0.0007638012731593175, 1.9987577815045539]","[1, 3, 4, 4, 4, 4]"
669,omp,7,23,1.0,0.9155361698623804,0.9999995222296326,"['Bool[holding]', 'Bool[And(ontable,Nominal(a))]', 'Num[Exists(on,ontable)]', 'Bool[And(Not(holding),Nominal(a))]', 'Num[Not(And(clear,Nominal(a)))]', 'Num[Not(And(clear,ontable))]', 'Num[Exists(Star(on),Nominal(a))]']","[0.9999897505017901, -0.00018250043062889644, 0.0002914092636735636, 0.002329680640014335, -0.0006814028532231964, 0.000732060466402365, 1.9987787645715243]","[1, 3, 3, 4, 4, 4, 4]"
